date,open,high,low,close,daily_ret
2017-08-04,10470.96,10510.7,10466.25,10506.56,0.003399879285185037
2017-08-07,10521.69,10592.31,10521.69,10579.38,0.005482959486546202
2017-08-08,10598.59,10619.42,10533.72,10568.97,-0.002794711371984504
2017-08-09,10523.51,10536.19,10457.52,10470.38,-0.005048695729846897
2017-08-10,10470.03,10477.79,10303.47,10329.74,-0.013399197519013861
2017-08-11,10267.05,10338.06,10238.5,10329.57,0.006089383026283146
2017-08-14,10347.66,10365.22,10225.28,10225.28,-0.01182682848102845
2017-08-15,10271.03,10336.22,10271.03,10311.16,0.0039071057138377885
2017-08-16,10302.83,10322.38,10245.72,10290.39,-0.0012074352386675091
2017-08-17,10302.54,10372.41,10302.54,10369.37,0.006486749869449637
2017-08-18,10324.83,10330.39,10259.83,10321.33,-0.0003389886322583413
2017-08-21,10316.09,10336.37,10282.72,10326.39,0.0009984403005400821
2017-08-22,10353.37,10410.47,10353.37,10392.07,0.0037379133557478017
2017-08-23,10418.32,10458.91,10378.01,10406.81,-0.001104784648580548
2017-08-24,10414.66,10488.96,10410.73,10488.96,0.007134174327342313
2017-08-25,10497.86,10519.84,10478.72,10515.51,0.0016812950448947817
2017-08-28,10502.8,10542.37,10498.88,10525.98,0.0022070305061507867
2017-08-29,10518.69,10518.69,10463.22,10496.57,-0.0021029234629027505
2017-08-30,10511.59,10574.53,10511.59,10569.4,0.005499643726591286
2017-08-31,10586.65,10609.48,10551.95,10585.78,-8.217897068463209e-05
2017-09-01,10576.27,10619.52,10568.72,10594.82,0.0017539264788057896
2017-09-04,10585.44,10610.04,10555.34,10569.87,-0.0014708883145150287
2017-09-05,10584.1,10617.84,10564.26,10617.84,0.0031878005687777655
2017-09-06,10593.87,10604.92,10519.71,10547.86,-0.004343077647734006
2017-09-07,10564.79,10604.02,10509.91,10538.51,-0.0024875080337612987
2017-09-08,10553.9,10609.95,10550.72,10609.95,0.005310832962222678
2017-09-11,10630.16,10656.25,10565.78,10572.16,-0.005456173754675331
2017-09-12,10610.33,10646.55,10586.28,10610.35,1.8849555103450655e-06
2017-09-13,10596.36,10620.31,10532.88,10532.88,-0.005990736441570665
2017-09-14,10533.99,10572.71,10508.72,10553.57,0.0018587448820437391
2017-09-15,10556.82,10580.78,10520.15,10580.41,0.002234574426768665
2017-09-18,10590.8,10642.4,10581.81,10631.57,0.003849567549193633
2017-09-19,10653.34,10664.18,10561.21,10576.14,-0.007246553662982769
2017-09-20,10568.58,10589.19,10490.71,10519.17,-0.004675178690041637
2017-09-21,10506.85,10603.08,10493.95,10578.44,0.0068136501425259954
2017-09-22,10571.65,10579.02,10446.45,10449.68,-0.011537461039667352
2017-09-25,10442.05,10447.09,10322.1,10335.89,-0.010166586063081517
2017-09-26,10333.44,10374.54,10257.02,10257.02,-0.007395407531277098
2017-09-27,10322.44,10357.23,10315.97,10326.68,0.00041075559654490945
2017-09-28,10351.42,10365.59,10288.24,10296.45,-0.005310382536888647
2017-09-29,10319.69,10338.95,10273.6,10329.94,0.000993246890168109
2017-09-30,10362.55,10400.4,10362.55,10383.94,0.002064163743480174
2017-10-02,10425.1,10472.81,10414.53,10465.16,0.0038426489913765405
2017-10-03,10462.7,10495.34,10445.86,10469.35,0.0006355911953892512
2017-10-05,10473.28,10530.93,10473.28,10518.27,0.004295693421735969
2017-10-06,10538.21,10557.67,10511.5,10532.81,-0.0005124209899024512
2017-10-11,10576.12,10668.49,10576.12,10641.19,0.006152539872845697
2017-10-12,10668.39,10711.44,10668.39,10711.44,0.0040352855491785355
2017-10-13,10712.48,10724.09,10675.83,10724.09,0.0010837826535032846
2017-10-16,10735.14,10774.21,10723.37,10774.21,0.003639449508809456
2017-10-17,10790.35,10798.52,10723.15,10723.15,-0.006227786865115603
2017-10-18,10773.85,10790.31,10684.32,10720.28,-0.004972224413742454
2017-10-19,10745.77,10798.54,10745.77,10760.29,0.0013512293674626807
2017-10-20,10737.87,10753.77,10702.56,10728.88,-0.0008372237697049645
2017-10-23,10759.47,10792.27,10731.9,10735.21,-0.002254757901643867
2017-10-24,10749.9,10766.64,10726.25,10743.78,-0.0005693076214661197
2017-10-25,10771.4,10794.55,10740.07,10750.57,-0.0019338247581558443
2017-10-26,10735.35,10756.51,10716.52,10734.76,-5.4958618023626116e-05
2017-10-27,10757.35,10803.6,10701.08,10709.11,-0.004484375798872398
2017-10-30,10777.6,10842.25,10743.13,10756.87,-0.0019234337885984942
2017-10-31,10768.9,10829.33,10747.37,10793.8,0.0023122138751403565
2017-11-01,10816.04,10843.41,10785.32,10806.36,-0.0008949671044116148
2017-11-02,10797.63,10827.67,10788.51,10788.51,-0.0008446297937602099
2017-11-03,10797.91,10835.7,10765.31,10800.77,0.0002648660713044926
2017-11-06,10856.56,10858.5,10769.19,10786.19,-0.0064817953384864735
2017-11-07,10820.83,10842.61,10807.89,10840.34,0.0018030040209484621
2017-11-08,10839.44,10844.74,10806.01,10818.99,-0.0018866288295337208
2017-11-09,10802.95,10831.38,10721.87,10743.27,-0.0055244169416687194
2017-11-10,10713.67,10742.61,10659.29,10732.67,0.0017734352467455583
2017-11-13,10728.22,10749.39,10683.92,10683.92,-0.004129296379082437
2017-11-14,10716.59,10735.08,10654.58,10687.18,-0.0027443431166070953
2017-11-15,10662.08,10669.59,10600.26,10630.65,-0.0029478300669287805
2017-11-16,10629.16,10666.66,10609.23,10625.04,-0.0003876129440143483
2017-11-17,10673.43,10729.45,10673.43,10701.64,0.0026430116654159175
2017-11-20,10706.79,10728.39,10656.18,10664.55,-0.003945160033959949
2017-11-21,10688.22,10787.58,10687.26,10779.24,0.008515917524152705
2017-11-22,10815.4,10882.65,10801.1,10822.59,0.000664792795458391
2017-11-23,10837.61,10872.29,10809.09,10854.57,0.0015649206790058212
2017-11-24,10847.79,10873.91,10833.78,10854.09,0.0005807634550447638
2017-11-27,10836.82,10856.0,10746.74,10750.93,-0.007925756817959484
2017-11-28,10733.56,10752.58,10692.53,10707.07,-0.002467960303943917
2017-11-29,10735.24,10762.91,10697.62,10713.55,-0.002020448541439235
2017-11-30,10623.2,10650.18,10560.44,10560.44,-0.0059078243843663225
2017-12-01,10591.62,10665.92,10495.15,10600.37,0.0008261248043264224
2017-12-04,10617.27,10665.43,10565.68,10651.11,0.0031872600018649777
2017-12-05,10607.62,10635.71,10540.74,10566.85,-0.003843463472484876
2017-12-06,10541.03,10541.03,10376.65,10393.92,-0.013955941686913054
2017-12-07,10404.42,10418.97,10322.76,10355.76,-0.004676858488988356
2017-12-08,10406.35,10419.28,10336.26,10398.62,-0.0007428156846540634
2017-12-11,10438.33,10504.67,10438.33,10473.09,0.003330034593656217
2017-12-12,10488.73,10495.24,10408.06,10443.28,-0.0043332224206361625
2017-12-13,10447.11,10489.17,10444.7,10470.7,0.0022580407404535485
2017-12-14,10494.6,10577.53,10494.6,10538.01,0.004136413012406415
2017-12-15,10517.21,10520.66,10436.11,10491.44,-0.002450269605722255
2017-12-18,10478.74,10526.41,10472.39,10506.52,0.0026510820957481585
2017-12-19,10508.33,10544.0,10452.08,10467.34,-0.003900714956610596
2017-12-20,10470.36,10514.31,10470.36,10504.52,0.003262543026218756
2017-12-21,10526.97,10545.78,10488.97,10488.97,-0.003609775652443248
