,Timestamp,wed_ret,daily_ret,ret_diff,ret_ratio
202,2021-05-26,0.0,-8.891468215699305e-05,8.891468215699305e-05,0.0
263,2022-08-10,0.00013446282103,-0.0001164599391195,0.0002509227601495,1.1545843321455558
337,2024-01-24,0.0,-0.0004355941358626,0.0004355941358626,0.0
44,2018-04-18,-0.0003686975758134,0.0004620543619406,0.000830751937754,0.7979528085502597
74,2018-11-14,0.0001023751023752,-0.0007969639855955,0.0008993390879707,0.12845637221449127
127,2019-12-04,0.0009571876087712,-0.0001172707703908,0.001074458379162,8.162201080298285
329,2023-11-29,-0.0002883672645481,0.0010632712678746,0.0013516385324227002,0.27120761489636097
112,2019-08-21,0.0013315579227697,-0.0001016446484094,0.0014332025711791,13.100128177988353
109,2019-07-31,0.0014923980971923,-3.141124245320537e-05,0.0015238093396455054,47.51159077567809
87,2019-02-27,-0.0012530120481927,0.0003235183389644,0.0015765303871571,3.8730788869764243
124,2019-11-13,0.0002617115938237,-0.0013419557546476,0.0016036673484713,0.19502252061389752
39,2018-03-07,0.0,-0.0016417371009357,0.0016417371009357,0.0
151,2020-05-27,0.0009122422915526,-0.0008408979374869,0.0017531402290395,1.0848430598830092
2,2017-06-07,0.0011787819253437,-0.0006019886180103,0.001780770543354,1.9581465331351682
278,2022-11-23,-0.0010263427984946,0.0008934260559763,0.0019197688544709,1.1487719567044123
232,2021-12-22,-0.0007844455650809,0.0011844495089785,0.0019688950740594,0.6622870448546399
83,2019-01-16,0.0003067171045905,-0.0017932085039387,0.0020999256085292,0.17104374863090935
396,2025-04-02,0.0014572462746205,-0.0007295752933431,0.0021868215679636,1.9973898347667807
255,2022-06-15,0.0006229753301769,-0.0016591953994299,0.0022821707296068,0.37546833265747637
115,2019-09-11,-0.0020379805465493,0.0002502862069126,0.0022882667534619002,8.142600312213622
52,2018-06-13,-0.0005380200860831,0.0017941039342967,0.0023321240203798,0.29988234003511466
92,2019-04-03,0.0004678143712575,-0.0019384308127518,0.0024062451840093,0.24133663589127013
56,2018-07-11,0.0008484162895927,-0.001571027264804,0.0024194435543967,0.5400391887524293
298,2023-04-26,-0.0009746588693957,0.0014721180195713,0.002446776888967,0.662079301005726
347,2024-04-10,0.0013927576601671,-0.0012453449879794,0.0026381026481465,1.1183709523148926
155,2020-06-24,-0.0015596568754874,0.001099772833808,0.0026594297092954,1.4181627582916703
160,2020-07-29,-0.0018479832878033,0.0008163923279869,0.0026643756157902,2.2635970775964385
378,2024-11-13,0.0012304987914744,-0.001514747164326,0.0027452459558004,0.812345994403575
302,2023-05-24,0.0010588601681718,-0.0016865781738251,0.0027454383419968998,0.6278156474480767
167,2020-09-16,0.0017767477790653,-0.0010046336320546,0.0027813814111199,1.7685529554008967
150,2020-05-20,-0.0014674860130239,0.0013807336249029,0.0028482196379268,1.062830647821082
307,2023-06-28,-0.0011312890741291,0.0017390039056608,0.0028702929797899002,0.6505385470650936
7,2017-07-12,-0.0006765899864682,0.0022804720990827,0.0029570620855509,0.2966885614344295
235,2022-01-12,-0.0015214910612399,0.0014720637614527,0.0029935548226925996,1.033576874237039
324,2023-10-25,-0.0007330482590104,0.0023393590107292,0.0030724072697396,0.3133543229783709
296,2023-04-12,-0.0019427210628564,0.0011825953632458,0.0031253164261022,1.6427605952422542
99,2019-05-22,0.0008595167605769,-0.0022783868105448,0.0031379035711217,0.37724795306876596
195,2021-04-07,-0.0005364487095428,0.0026241179153736,0.0031605666249164,0.20443010826608565
208,2021-07-07,0.0005050221648617,-0.002824383772083,0.0033294059369447003,0.178807911960648
331,2023-12-13,-0.0021725458807386,0.0012276823455037,0.0034002282262423,1.7696319318229148
41,2018-03-21,0.0012692656391659,-0.0023810063103916,0.0036502719495575004,0.5330794940048462
340,2024-02-21,-0.0036289892197672,0.000151016226747,0.0037800054465142,24.030458831731416
325,2023-11-01,-0.0031678986272439,0.0006763282612873,0.0038442268885312,4.683966068805451
291,2023-03-08,0.0038155802861685,-6.195011372267523e-05,0.0038775303998911754,61.591174848350704
373,2024-10-09,-0.0029863855950812,0.0009678771683918,0.003954262763473,3.0855006116564376
316,2023-08-30,-0.0008364201218783,0.0032094648311895,0.0040458849530678,0.2606104649441832
205,2021-06-16,0.0012121911798661,-0.0028523906559575,0.0040645818358236,0.4249737592339671
209,2021-07-14,0.0015689790429227,-0.0026133840361133,0.004182363079036,0.6003629857845656
237,2022-01-26,-0.0032799864276423,0.0009304580311326,0.0042104444587749,3.5251309762459
250,2022-05-11,0.001313402964538,-0.002958810246827,0.004272213211365,0.4438956387779449
193,2021-03-24,-0.0022473312940882,0.0023232318180228,0.004570563112111,0.9673297673758637
197,2021-04-21,0.0003483309143685,-0.0046665000266159,0.0050148309409844,0.07464500426052846
110,2019-08-07,0.0016456921587608,-0.0035220557829929,0.0051677479417537,0.467253291872157
339,2024-02-15,0.0041420118343196,-0.0010651264837699,0.005207138318089499,3.88875114592907
132,2020-01-08,0.0051159618008185,-0.000140454666987,0.0052564164678055,36.42429198377591
234,2022-01-05,0.0,-0.0052784876759116,0.0052784876759116,0.0
97,2019-05-08,0.0040556733339478,-0.0013493660447941,0.0054050393787419,3.005613895202659
138,2020-02-26,0.0033383115171747,-0.0030500671398426,0.0063883786570173,1.0945042728951124
228,2021-11-24,0.0042603953646898,-0.0021289400095926,0.0063893353742824,2.00118150135432
280,2022-12-07,0.0013695815928234,-0.0053079667774447,0.006677548370268099,0.25802376884557826
362,2024-07-26,0.0030415834392591,-0.0039501182738902,0.0069917017131493,0.769998067998013
