Timestamp,futures_id,contract_date,monthly_group,Open,High,Low,Close,spread,spread_per,Volume,settlement_price,open_interest,trading_session
2020-01-02,TX,202001,2020-01-15,11996.0,12024.0,11965.0,12024.0,30.0,0.25,22506.0,0.0,0.0,after_market
2020-01-03,TX,202001,2020-01-15,12099.0,12172.0,12093.0,12172.0,71.0,0.59,32214.0,0.0,0.0,after_market
2020-01-06,TX,202001,2020-01-15,12092.0,12094.0,12035.0,12043.0,-44.0,-0.36,36868.0,0.0,0.0,after_market
2020-01-07,TX,202001,2020-01-15,11938.0,11978.0,11901.0,11976.0,27.0,0.23,38896.0,0.0,0.0,after_market
2020-01-08,TX,202001,2020-01-15,11867.0,11911.0,11845.0,11908.0,37.0,0.31,36974.0,0.0,0.0,after_market
2020-01-09,TX,202001,2020-01-15,11808.0,11920.0,11804.0,11898.0,110.0,0.93,42405.0,0.0,0.0,after_market
2020-01-10,TX,202001,2020-01-15,11970.0,12005.0,11940.0,11981.0,12.0,0.1,31526.0,0.0,0.0,after_market
2020-01-13,TX,202001,2020-01-15,12015.0,12037.0,11997.0,12013.0,2.0,0.02,19995.0,0.0,0.0,after_market
2020-01-14,TX,202001,2020-01-15,12122.0,12174.0,12114.0,12172.0,56.0,0.46,23051.0,0.0,0.0,after_market
2020-01-15,TX,202001,2020-01-15,12174.0,12197.0,12152.0,12175.0,-6.0,-0.05,23266.0,0.0,0.0,after_market
2020-01-16,TX,202002,2020-02-19,12067.0,12085.0,12015.0,12036.0,-18.0,-0.15,27281.0,0.0,0.0,after_market
2020-01-17,TX,202002,2020-02-19,12066.0,12104.0,12050.0,12097.0,45.0,0.37,32484.0,0.0,0.0,after_market
2020-01-20,TX,202002,2020-02-19,12077.0,12106.0,12072.0,12106.0,35.0,0.29,16582.0,0.0,0.0,after_market
2020-01-30,TX,202002,2020-02-19,12116.0,12117.0,12079.0,12099.0,-12.0,-0.1,11314.0,0.0,0.0,after_market
2020-01-31,TX,202002,2020-02-19,11367.0,11455.0,11271.0,11451.0,79.0,0.69,70508.0,0.0,0.0,after_market
2020-02-03,TX,202002,2020-02-19,11455.0,11470.0,11211.0,11241.0,-228.0,-1.99,71115.0,0.0,0.0,after_market
2020-02-04,TX,202002,2020-02-19,11309.0,11375.0,11298.0,11353.0,29.0,0.26,36926.0,0.0,0.0,after_market
2020-02-05,TX,202002,2020-02-19,11541.0,11639.0,11519.0,11622.0,88.0,0.76,41539.0,0.0,0.0,after_market
2020-02-06,TX,202002,2020-02-19,11554.0,11659.0,11539.0,11634.0,92.0,0.8,61792.0,0.0,0.0,after_market
2020-02-07,TX,202002,2020-02-19,11741.0,11742.0,11659.0,11692.0,-47.0,-0.4,47647.0,0.0,0.0,after_market
2020-02-10,TX,202002,2020-02-19,11614.0,11626.0,11485.0,11495.0,-94.0,-0.81,53574.0,0.0,0.0,after_market
2020-02-11,TX,202002,2020-02-19,11565.0,11595.0,11520.0,11595.0,30.0,0.26,36076.0,0.0,0.0,after_market
2020-02-12,TX,202002,2020-02-19,11657.0,11710.0,11645.0,11674.0,10.0,0.09,31136.0,0.0,0.0,after_market
2020-02-13,TX,202002,2020-02-19,11780.0,11842.0,11773.0,11838.0,68.0,0.58,37544.0,0.0,0.0,after_market
2020-02-14,TX,202002,2020-02-19,11775.0,11811.0,11708.0,11774.0,-1.0,-0.01,55257.0,0.0,0.0,after_market
2020-02-17,TX,202002,2020-02-19,11810.0,11812.0,11736.0,11762.0,-48.0,-0.41,42616.0,0.0,0.0,after_market
2020-02-18,TX,202002,2020-02-19,11774.0,11786.0,11749.0,11766.0,-3.0,-0.03,16089.0,0.0,0.0,after_market
2020-02-19,TX,202002,2020-02-19,11627.0,11652.0,11603.0,11639.0,-1.0,-0.01,35313.0,0.0,0.0,after_market
2020-02-20,TX,202003,2020-03-18,11762.0,11822.0,11760.0,11795.0,32.0,0.27,28345.0,0.0,0.0,after_market
